Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
mk,lipkovo,42.156388899999996,21.585277800000004,46.4,81,0,2.57
es,palma,39.574337,2.655222,64.4,100,40,4.7
id,salatiga,-7.321389,110.507778,72.38,100,8,4.14
de,telgte,51.983333,7.783333,54.57,93,40,1.12
ua,kulevcha,46.030338,29.936137,50.24,95,0,7.38
br,iguatu,-6.366667,-39.3,80.93,62,92,8.72
co,puerto salgar,5.4630410000000005,-74.654363,67.79,98,64,1.12
pt,povoa de santo adriao,38.8,-9.166667,58.21,82,20,12.75
in,balangir,20.716667,83.483333,69.32,82,0,2.8
de,blumberg,47.833333,8.533333,46.45,100,12,1.12
mx,san ignacio,23.916667,-106.41666699999999,76.61,74,24,0.11
hu,tiszavasvari,47.966667,21.35,51.8,62,0,3.36
in,itanagar,27.1,93.616667,60.95,89,12,2.68
dk,logstor,56.962451,9.258303999999999,52.49,100,92,12.19
br,baixo guandu,-19.516667,-41.016667,69.5,96,92,4.36
br,lagoa da prata,-20.016667,-45.55,70.13,96,44,5.7
pe,marcavelica,-4.8777778,-80.70527779999999,69.8,83,0,11.41
us,milpitas,37.4283333,-121.90555559999999,71.6,31,1,9.17
pk,shahdadpur,25.924059,68.619991,69.8,68,0,4.03
za,boksburg,-26.214953,28.254732,59,77,0,8.05
ph,payao,10.1769,122.9451,78.59,96,20,3.47
nc,dumbea,-22.15,166.45,86,58,8,11.41
ch,malters,47.03628,8.181928,45.03,93,32,1.79
cr,roxana,10.275277,-83.75133000000001,66.22,100,90,2.24
gt,san andres xecul,14.9,-91.483333,82.4,78,75,4.7
bd,pirganj,25.8666667,88.3666667,69.86,77,36,5.82
ph,cordon,16.6744,121.4658,69.5,99,92,1.45
de,buren,51.55,8.566667,51.22,87,0,2.24
ro,scorteni,45.1,25.85,55.4,76,0,3.36
br,uirauna,-6.516667,-38.416667,77.15,72,76,11.07
in,palia kalan,28.45,80.583333,59.78,84,0,2.8
us,fredonia,42.44,-79.3319444,40.89,70,90,23.04
dk,farum,55.809872999999996,12.362286,49.51,100,75,2.24
ru,shatki,55.188745,44.124859,31.61,81,0,2.68
ph,macayug,16.0896,120.405,74.81,97,8,3.02
ph,rizal,10.663656,122.590103,77.78,100,20,4.59
ph,kilim,10.7118,124.7968,79.58,100,12,3.36
sz,mhlambanyatsi,-26.45,31.016666700000002,51.86,97,92,3.02
us,cambridge,38.563055600000006,-76.0791667,61.25,45,1,5.82
it,montesilvano,42.483333,14.133332999999999,66.2,93,64,2.24
jp,yugawara,35.15,139.066667,64.4,77,75,17.22
ru,vuktyl,63.856667,57.30944399999999,33.32,92,76,4.7
ph,bombon,13.6887,123.2077,80.57,97,20,4.36
jp,omama,36.433333000000005,139.283333,50.96,99,100,2.13
py,la colmena,-25.883333,-56.816667,72.74,96,32,2.57
ru,primorsk,60.365806000000006,28.618205,52.04,94,0,9.17
in,colvale,15.616667000000001,73.833333,73.37,100,32,3.36
